District,Month,Cases,Year
Ampara,1,0,2007
Anuradhapura,1,6,2007
Badulla,1,5,2007
Batticaloa,1,0,2007
Colombo,1,12,2007
Galle,1,9,2007
Gampaha,1,2,2007
Hambantota,1,4,2007
Jaffna,1,0,2007
Kalutara,1,12,2007
Kandy,1,8,2007
Kegalle,1,8,2007
Kilinochchi,1,0,2007
Kurunegala,1,4,2007
Mannar,1,0,2007
Matale,1,5,2007
Matara,1,19,2007
Monaragala,1,7,2007
Mullaitivu,1,0,2007
Nuwara Eliya,1,2,2007
Polonnaruwa,1,3,2007
Puttalam,1,2,2007
Ratnapura,1,2,2007
Trincomalee,1,1,2007
Vavuniya,1,2,2007
Ampara,2,0,2007
Anuradhapura,2,2,2007
Badulla,2,6,2007
Batticaloa,2,0,2007
Colombo,2,13,2007
Galle,2,4,2007
Gampaha,2,7,2007
Hambantota,2,5,2007
Jaffna,2,0,2007
Kalutara,2,8,2007
Kandy,2,7,2007
Kegalle,2,15,2007
Kilinochchi,2,0,2007
Kurunegala,2,4,2007
Mannar,2,0,2007
Matale,2,6,2007
Matara,2,6,2007
Monaragala,2,2,2007
Mullaitivu,2,0,2007
Nuwara Eliya,2,1,2007
Polonnaruwa,2,4,2007
Puttalam,2,1,2007
Ratnapura,2,5,2007
Trincomalee,2,0,2007
Vavuniya,2,0,2007
Ampara,3,0,2007
Anuradhapura,3,0,2007
Badulla,3,2,2007
Batticaloa,3,0,2007
Colombo,3,9,2007
Galle,3,6,2007
Gampaha,3,42,2007
Hambantota,3,6,2007
Jaffna,3,0,2007
Kalutara,3,13,2007
Kandy,3,9,2007
Kegalle,3,7,2007
Kilinochchi,3,0,2007
Kurunegala,3,1,2007
Mannar,3,0,2007
Matale,3,2,2007
Matara,3,26,2007
Monaragala,3,5,2007
Mullaitivu,3,0,2007
Nuwara Eliya,3,1,2007
Polonnaruwa,3,1,2007
Puttalam,3,2,2007
Ratnapura,3,4,2007
Trincomalee,3,1,2007
Vavuniya,3,0,2007
Ampara,4,0,2007
Anuradhapura,4,1,2007
Badulla,4,5,2007
Batticaloa,4,0,2007
Colombo,4,15,2007
Galle,4,6,2007
Gampaha,4,25,2007
Hambantota,4,2,2007
Jaffna,4,0,2007
Kalutara,4,12,2007
Kandy,4,6,2007
Kegalle,4,5,2007
Kilinochchi,4,0,2007
Kurunegala,4,1,2007
Mannar,4,0,2007
Matale,4,1,2007
Matara,4,19,2007
Monaragala,4,4,2007
Mullaitivu,4,0,2007
Nuwara Eliya,4,0,2007
Polonnaruwa,4,3,2007
Puttalam,4,6,2007
