District,MRiceArea,MRiceYield,Year,SRiceArea,SRiceYield
Colombo,"3,354","3,033",2007,879,"3,346"
Gampaha,"8,402","3,134",2007,"2,407","3,656"
Kalutara,"12,511","3,170",2007,"7,135","3,060"
Galle,"12,395","3,418",2007,"5,871","3,262"
Matara,"13,176","3,692",2007,"13,345","3,712"
Ratnapura,"11,136","3,342",2007,"7,437","3,970"
Kegalle,"8,233","3,143",2007,"5,159","3,291"
Kurunegala,"71,731","4,035",2007,"28,729","3,755"
Puttalam,"12,579","3,962",2007,"5,320","4,145"
Kandy,"12,042","3,710",2007,"8,157","3,903"
Matale,"15,281","3,866",2007,"5,585","4,086"
Nuwara Eliya,"5,335","3,459",2007,,
Badulla,"22,266","4,434",2007,"10,705","4,639"
Monaragala,"23,544","4,089",2007,"8,926","4,377"
Jaffna,"6,918","2,141",2007,-,-
Kilinochchi,"16,488","3,344",2007,,
Vavuniya,"4,064","4,327",2007,,
Mullaitivu,"9,568","3,624",2007,,
Mannar,"5,668","3,874",2007,,
Anuradhapura,"57,562","4,726",2007,"14,635","4,804"
Polonnaruwa,"50,565","5,119",2007,"49,558","5,057"
Trincomalee,"16,287","4,261",2007,,
Batticaloa,"18,469","2,891",2007,"2,705","3,680"
Ampara,"51,803","4,934",2007,"53,787","4,993"
Hambantota,"22,320","5,215",2007,"20,923","4,940"
Colombo,"3,767","3,502",2008,"3,832","3,172"
Gampaha,"9,360","3,495",2008,"7,501","3,243"
Kalutara,"13,476","2,884",2008,"12,368","2,743"
Galle,"14,679","3,190",2008,"14,130","3,027"
Matara,"14,865","3,887",2008,"15,975","3,755"
Ratnapura,"12,025","3,305",2008,"11,331","3,556"
Kegalle,"7,486","3,749",2008,"7,431","3,323"
Kurunegala,"75,351","3,838",2008,"68,912","3,148"
Puttalam,"12,284","3,834",2008,"14,484","3,746"
Kandy,"13,476","3,764",2008,"11,629","3,895"
Matale,"19,119","3,559",2008,"11,960","3,784"
Nuwara Eliya,"5,627","3,929",2008,"2,087","3,688"
Badulla,"25,331","4,094",2008,"12,746","4,605"
Monaragala,"25,827","3,993",2008,"13,716","4,272"
Jaffna,"7,566","2,887",2008,,
Kilinochchi,"14,650","2,803",2008,,
Vavuniya,"6,422","3,587",2008,,
Mullaitivu,"6,596","3,430",2008,,
Mannar,"4,894","3,640",2008,,
Anuradhapura,"72,717","4,311",2008,"49,133","4,396"
Polonnaruwa,"55,529","4,900",2008,"54,481","4,971"
Trincomalee,"18,987","4,381",2008,"15,296","4,504"
Batticaloa,"19,134","3,661",2008,"17,728","3,943"
Ampara,"64,490","4,864",2008,"60,168","4,927"
Hambantota,"24,234","4,762",2008,"24,500","4,725"
Colombo,"4,506","3,554",2009,"3,615","3,004"
Gampaha,"10,826","3,353",2009,"8,106","3,390"
Kalutara,"14,684","3,115",2009,"12,872","2,898"
Galle,"15,930","3,032",2009,"13,120","2,997"
Matara,"16,171","3,631",2009,"15,722","3,628"
Ratnapura,"12,995","3,462",2009,"11,978","3,277"
Kegalle,"8,179","3,721",2009,"7,617","3,374"
Kurunegala,"77,291","3,940",2009,"48,916","3,534"
Puttalam,"19,680","3,976",2009,"15,258","3,653"
Kandy,"14,071","3,768",2009,"9,262","3,545"
Matale,"19,374","3,759",2009,"6,406","3,642"
Nuwara Eliya,"5,576","4,145",2009,"2,884","2,913"
Badulla,"27,225","4,484",2009,"8,168","4,673"
Monaragala,"26,529","4,413",2009,"8,341","3,645"
Jaffna,"8,171","2,506",2009,-,-
Kilinochchi,-,-,2009,,
Vavuniya,"6,709","4,689",2009,,
Mullaitivu,-,-,2009,,
Mannar,"5,352","3,670",2009,,
Anuradhapura,"80,724","4,633",2009,"18,226","4,426"
Polonnaruwa,"57,298","5,223",2009,"36,862","4,737"
Trincomalee,"23,014","4,463",2009,"13,950","4,851"
Batticaloa,"45,905","3,639",2009,"17,073","4,189"
Ampara,"69,979","5,158",2009,"46,227","4,964"
Hambantota,"25,575","5,295",2009,"21,905","5,017"
Colombo,"4,764","3,505",2010,"2,656","3,209"
Gampaha,"12,534","3,451",2010,"7,828","3,687"
Kalutara,"15,369","3,208",2010,"12,025","2,682"
Galle,"17,156","3,286",2010,"11,732","2,943"
Matara,"15,908","3,641",2010,"15,574","3,415"
Ratnapura,"13,485","3,318",2010,"11,463","3,280"
Kegalle,"8,337","3,791",2010,"7,216","2,846"
Kurunegala,"68,758","4,033",2010,"56,682","3,993"
Puttalam,"14,415","3,973",2010,"10,576","3,567"
Kandy,754,934,2010,"10,121","3,567"
Matale,"20,248","4,494",2010,"10,719","4,292"
Nuwara Eliya,"5,586","4,134",2010,"3,030","4,420"
Badulla,"27,023","4,324",2010,"12,665","4,480"
Monaragala,"27,360","4,413",2010,"14,016","4,210"
Jaffna,"8,948","2,605",2010,,
Kilinochchi,-,-,2010,,
Vavuniya,"4,830","5,367",2010,834,"4,724"
Mullaitivu,"2,180","5,316",2010,"1,183","3,877"
Mannar,"8,093","5,403",2010,600,"3,909"
Anuradhapura,"81,463","4,924",2010,"22,887","4,887"
Polonnaruwa,"60,312","5,336",2010,"58,301","5,095"
Trincomalee,"26,535","4,332",2010,"13,116","4,853"
Batticaloa,"54,855","4,031",2010,"20,901","4,008"
Ampara,"69,861","5,368",2010,"59,255","4,877"
Hambantota,"26,098","5,183",2010,"24,255","5,114"
Colombo,"4,651","2,706",2011,"2,378","2,999"
Gampaha,"13,041","3,061",2011,"5,461","3,415"
Kalutara,"15,024","2,917",2011,"11,499","2,430"
Kandy,"13,828","3,121",2011,"9,127","3,737"
Matale,"19,814","3,599",2011,"10,718","4,202"
Nuwara Eliya,"5,584","3,847",2011,"2,946","4,208"
Galle,"16,697","2,968",2011,"10,560","2,924"
Matara,"15,925","3,474",2011,"15,401","3,299"
Hambantota,"36,084","5,779",2011,"25,339","5,047"
Jaffna,"9,221","2,659",2011,-,-
Kilinochchi,"20,224","2,854",2011,"6,518","2,616"
Mannar,"11,693","4,001",2011,"1,818","3,842"
Vavuniya,"13,689","4,139",2011,"4,272","4,151"
Mullaitivu,"10,753","2,456",2011,"3,433","3,669"
Batticaloa,"59,520","2,399",2011,"21,699","4,031"
Ampara,"70,819","3,333",2011,"61,904","4,863"
Trincomalee,"30,331","2,388",2011,"18,514","4,710"
Kurunegala,"81,263","3,319",2011,"68,619","3,758"
Puttalam,"20,253","3,641",2011,"17,521","3,684"
Anuradhapura,"113,113","4,463",2011,"54,471","4,775"
Polonnaruwa,"65,396","3,831",2011,"61,666","5,028"
Badulla,"27,733","3,324",2011,"13,179","4,395"
Monaragala,"30,587","4,077",2011,"15,764","4,123"
Ratnapura,"16,595","3,519",2011,"11,734","3,315"
Kegalle,"8,212","2,993",2011,"7,024","2,756"
Colombo,"4,617","3,477",2012,910,"3,002"
Gampaha,"10,333","3,453",2012,"3,571","3,258"
Kalutara,"14,151","3,367",2012,"7,232","2,398"
Kandy,"13,299","4,169",2012,"5,558","3,642"
Matale,"19,177","4,384",2012,"5,638","3,686"
Nuwara Eliya,"5,482","4,002",2012,"1,144","3,087"
Galle,"15,968","3,431",2012,"4,212","3,075"
Matara,"15,196","3,653",2012,"12,476","3,050"
Hambantota,"26,759","5,198",2012,"21,403","4,919"
Jaffna,"8,755","2,680",2012,,
Kilinochchi,"20,876","3,059",2012,"5,771","4,032"
Mannar,"13,416","4,798",2012,"2,201","3,759"
Vavuniya,"15,994","3,972",2012,"1,156","3,788"
Mullaitivu,"9,727","2,994",2012,"2,588","3,590"
Batticaloa,"59,470","3,733",2012,"23,887","3,965"
Ampara,"71,877","5,026",2012,"60,864","4,729"
Trincomalee,"30,161","4,484",2012,"16,107","4,455"
Kurunegala,"62,621","3,934",2012,"41,517","3,413"
Puttalam,"13,181","4,087",2012,"6,341","3,582"
Anuradhapura,"89,253","4,982",2012,"26,568","4,049"
Polonnaruwa,"64,512","5,086",2012,"53,452","4,199"
Badulla,"27,552","4,514",2012,"11,676","4,208"
Monaragala,"31,985","4,258",2012,"13,468","3,956"
Ratnapura,"12,948","3,367",2012,"9,743","3,447"
Kegalle,"7,103","3,629",2012,"2,882","2,728"
Colombo,"4,062","3,597",2013,"1,257","2,522"
Gampaha,"11,176","3,750",2013,"4,813","2,934"
Kalutara,"13,638","3,105",2013,"6,906","2,539"
Kandy,"11,992","4,013",2013,"8,459","3,691"
Matale,"21,168","4,404",2013,"9,318","4,617"
Nuwara Eliya,"5,418","5,282",2013,"1,832","3,196"
Galle,"14,141","3,552",2013,"4,057","2,670"
Matara,"15,344","3,960",2013,"11,331","3,475"
Hambantota,"28,946","6,575",2013,"25,896","4,987"
Jaffna,"10,219","2,388",2013,-,-
Mannar,"15,663","5,509",2013,"2,248","5,694"
Vavuniya,"18,030","3,722",2013,"5,270","4,813"
Mullaitivu,"14,087","2,685",2013,,
Kilinochchi,"22,728","4,221",2013,"5,825","5,630"
Batticaloa,"66,276","2,088",2013,"27,556","4,603"
Ampara,"82,921","4,084",2013,"64,403","4,833"
Trincomalee,"35,011","3,424",2013,"23,012","4,758"
Kurunegala,"81,580","4,806",2013,"52,461","3,619"
Puttalam,"20,354","4,599",2013,"11,533","3,856"
Anuradhapura,"100,598","4,467",2013,"46,888","4,284"
Polonnaruwa,"66,372","4,889",2013,"62,503","4,725"
Badulla,"29,262","4,869",2013,"13,485","4,443"
Monaragala,"36,762","4,270",2013,"15,346","3,696"
Ratnapura,"12,586","3,766",2013,"8,465","3,941"
Kegalle,"5,093","3,916",2013,"4,725","2,783"
Colombo,"3,765","3,551",2014,983,"3,073"
Gampaha,"10,646","3,188",2014,"5,171","3,179"
Kalutara,"12,744","2,915",2014,"6,272","2,817"
Galle,"12,703","3,653",2014,"4,767","2,735"
Matara,"13,890","3,882",2014,"11,221","3,398"
Ratnapura,"11,903","4,053",2014,"7,412","3,525"
Kegalle,"6,088","3,344",2014,"3,969","2,763"
Kurunegala,"61,138","4,062",2014,"59,599","3,453"
Puttalam,"13,944","4,072",2014,"10,741","3,927"
Kandy,"12,026","4,187",2014,"8,118","3,667"
Matale,"18,578","3,956",2014,"6,507","4,169"
Nuwara Eliya,"5,031","4,403",2014,"1,839","4,274"
Badulla,"27,637","4,872",2014,"12,843","4,751"
Monaragala,"34,814","3,969",2014,"8,814","3,778"
Jaffna,"10,180","1,547",2014,,
Kilinochchi,"22,897","4,218",2014,324,"4,238"
Vavuniya,"8,377","3,408",2014,"1,557","4,507"
Mullaitivu,"12,797","2,563",2014,,
Mannar,"5,313","5,254",2014,"1,726","3,970"
Anuradhapura,"52,789","3,898",2014,"17,542","4,461"
Polonnaruwa,"62,200","4,819",2014,"34,553","4,902"
Trincomalee,"26,133","4,830",2014,"7,394","4,446"
Batticaloa,"62,204","3,024",2014,"20,282","4,137"
Ampara,"81,940","4,885",2014,"44,377","4,700"
Hambantota,"26,882","5,592",2014,"21,524","4,627"
Colombo,"3,484",3431,2015,"1,309",2275
Gampaha,"11,154",3594,2015,"4,592",3252
Kalutara,"13,020",3644,2015,"7,796",3495
Kandy,"12,135",4203,2015,"8,552",3647
Matale,"20,365",4602,2015,"10,186",4202
Nuwara Eliya,"5,237",3717,2015,"2,157",3943
Galle,"13,130",3738,2015,"5,694",2649
Matara,"14,447",4266,2015,"13,655",3861
Hambantota,"27,175",6134,2015,"26,302",5279
Jaffna,"10,038",3096,2015,-,-
Mannar,"17,321",5489,2015,"2,976",4954
Vavuniya,"16,841",4816,2015,"5,722",4683
Mullaitivu,"14,613",3330,2015,"6,969",4540
Kilinochchi,"23,675",3689,2015,"6,854",4634
Batticaloa,"61,014",2686,2015,"27,011",4811
Ampara,"83,133",4078,2015,"65,973",4906
Trincomalee,"34,470",4473,2015,"22,294",4745
Kurunegala,"79,375",3609,2015,"62,649",3562
Puttalam,"20,116",4028,2015,"15,327",3817
Anuradhapura,"99,814",4802,2015,"50,398",4612
Polonnaruwa,"74,766",5306,2015,"62,135",5131
Badulla,"27,057",4761,2015,"13,074",4459
Monaragala,"36,038",3993,2015,"15,415",4011
Ratnapura,"11,751",3924,2015,"8,311",3688
Kegalle,"6,240",3857,2015,"4,723",3437
Colombo,"2,896",3414,2016,402,2567
Gampaha,"9,989",3849,2016,"1,903",2703
Kalutara,"11,736",3358,2016,"2,799",2954
Kandy,"11,747",3764,2016,"7,565",3533
Matale,"19,858",4460,2016,"7,414",4886
Nuwara Eliya,"4,866",3779,2016,"2,017",3297
Galle,"10,174",2965,2016,"1,199",3148
Matara,"12,100",4055,2016,"6,404",3719
Hambantota,"27,848",5418,2016,"22,444",5259
Jaffna,"10,252",2352,2016,-,-
Mannar,"18,698",4999,2016,"2,416",4162
Vavuniya,"17,478",4359,2016,"3,371",4165
Mullaitivu,"16,046",3622,2016,"5,344",4297
Kilinochchi,"24,168",3959,2016,"2,442",4360
Batticaloa,"61,988",3022,2016,"27,360",3536
Ampara,"80,986",4467,2016,"64,004",4766
Trincomalee,"34,698",4570,2016,"20,963",4895
Kurunegala,"80,778",4131,2016,"50,190",3537
Puttalam,"20,090",3996,2016,"14,150",3282
Anuradhapura,"96,254",4748,2016,"38,701",4295
Polonnaruwa,"65,202",5056,2016,"56,264",5047
Badulla,"27,289",4303,2016,"12,679",4415
Monaragala,"37,683",3817,2016,"9,405",4363
Ratnapura,"11,163",3877,2016,"6,205",4172
Kegalle,"5,757",3933,2016,"2,462",3349
Colombo,"2,242",3437,2017,946,2720
Gampaha,"7,932",3340,2017,"2,728",2672
Kalutara,"8,838",3565,2017,"5,785",3228
Kandy,"8,560",4377,2017,"6,277",4162
Matale,"9,349",4523,2017,"5,457",4277
Nuwara Eliya,"4,322",3897,2017,"1,142",3619
Galle,"8,118",3543,2017,"4,919",2448
Matara,"11,579",4584,2017,"11,921",3491
Hambantota,"22,011",5253,2017,"20,967",5348
Jaffna,"10,049",2021,2017,_,_
Mannar,"14,565",4242,2017,101,2839
Vavuniya,"11,015",4334,2017,487,4361
Mullaitivu,"15,662",2957,2017,934,3209
Kilinochchi,"24,956",3983,2017,"1,429",4006
Batticaloa,"62,836",2516,2017,"24,211",3431
