District,Year,Population,Households,Avg_HH_Size
Colombo,2007,2303397,533606,4.32
Colombo,2008,2307572,540033,4.27
Colombo,2009,2311755,546538,4.23
Colombo,2010,2315945,553120,4.19
Colombo,2011,2320143,559782,4.14
Colombo,2012,2324349,566524,4.1
Colombo,2013,2328562,573347,4.06
Colombo,2014,2332783,580253,4.02
Colombo,2015,2337012,587241,3.98
Colombo,2016,2341248,594314,3.94
Colombo,2017,2345492,601472,3.9
Colombo,2018,2349743,608716,3.86
Colombo,2019,2354003,616048,3.82
Colombo,2020,2358270,623468,3.78
Colombo,2021,2362544,630977,3.74
Colombo,2022,2366827,638576,3.71
Colombo,2023,2371117,646267,3.67
Colombo,2024,2375415,654051,3.63
Gampaha,2007,2252232,566339,3.98
Gampaha,2008,2262655,572615,3.95
Gampaha,2009,2273127,578960,3.93
Gampaha,2010,2283647,585375,3.9
Gampaha,2011,2294215,591862,3.88
Gampaha,2012,2304833,598420,3.85
Gampaha,2013,2315500,605051,3.83
Gampaha,2014,2326216,611755,3.8
Gampaha,2015,2336981,618534,3.78
Gampaha,2016,2347797,625388,3.75
Gampaha,2017,2358662,632318,3.73
Gampaha,2018,2369578,639325,3.71
Gampaha,2019,2380544,646409,3.68
Gampaha,2020,2391562,653571,3.66
Gampaha,2021,2402630,660814,3.64
Gampaha,2022,2413749,668136,3.61
Gampaha,2023,2424920,675539,3.59
Gampaha,2024,2436142,683025,3.57
Kalutara,2007,1188625,283583,4.19
Kalutara,2008,1195216,287087,4.16
Kalutara,2009,1201844,290635,4.14
Kalutara,2010,1208508,294227,4.11
Kalutara,2011,1215210,297863,4.08
Kalutara,2012,1221948,301544,4.05
Kalutara,2013,1228724,305270,4.03
Kalutara,2014,1235537,309043,4.0
Kalutara,2015,1242388,312862,3.97
Kalutara,2016,1249278,316729,3.94
Kalutara,2017,1256205,320643,3.92
Kalutara,2018,1263171,324605,3.89
Kalutara,2019,1270175,328617,3.87
Kalutara,2020,1277218,332678,3.84
Kalutara,2021,1284301,336789,3.81
Kalutara,2022,1291422,340951,3.79
Kalutara,2023,1298583,345164,3.76
Kalutara,2024,1305784,349430,3.74
Kandy,2007,1340864,324002,4.14
Kandy,2008,1347697,327546,4.11
Kandy,2009,1354566,331129,4.09
