District,Month,Cases,Year,YearMonth,Precipitation_mm,Temp_Min_C,Temp_Max_C,Soil_Moisture_0_7cm,MRiceArea,MRiceYield,SRiceArea,SRiceYield,Population,Households
Ampara,1,1,2008,2008-01,177.6,19.8505,29.6005,0.3803414,"64,490","4,864","60,168","4,927",620469,152158
Anuradhapura,1,1,2008,2008-01,35.1,18.127998,32.228,0.319,"72,717","4,311","49,133","4,396",829754,217008
Badulla,1,3,2008,2008-01,102.2,14.111,26.811,0.44895968,"25,331","4,094","12,746","4,605",797275,196510
Batticaloa,1,0,2008,2008-01,225.1,20.9,29.7,0.34280512,"19,134","3,661","17,728","3,943",505292,124192
Colombo,1,13,2008,2008-01,143.7,21.011,30.311,0.3206613,"3,767","3,502","3,832","3,172",2307572,540033
Galle,1,34,2008,2008-01,130.0,22.2825,29.2825,0.4226492,"14,679","3,190","14,130","3,027",1052224,258326
Gampaha,1,11,2008,2008-01,94.9,20.774,30.974,0.3858871,"9,360","3,495","7,501","3,243",2262655,572615
Hambantota,1,11,2008,2008-01,45.0,20.252,31.002,0.33101746,"24,234","4,762","24,500","4,725",577799,146693
Jaffna,1,0,2008,2008-01,24.4,22.824001,28.624,0.25073117,"7,566","2,887",,,580303,129794
Kalutara,1,30,2008,2008-01,143.7,21.737,29.837,0.42489514,"13,476","2,884","12,368","2,743",1195216,287087
Kandy,1,15,2008,2008-01,189.9,15.822,27.972,0.44112903,"13,476","3,764","11,629","3,895",1347697,327546
Kegalle,1,8,2008,2008-01,60.9,17.5825,30.0325,0.4185121,"7,486","3,749","7,431","3,323",830934,211538
Kilinochchi,1,0,2008,2008-01,30.099998,20.7155,29.9155,0.25830644,"14,650","2,803",,,106687,24831
Kurunegala,1,5,2008,2008-01,67.6,18.9775,31.177502,0.43837634,"75,351","3,838","68,912","3,148",1571439,416781
Mannar,1,0,2008,2008-01,20.8,21.563,29.363,0.21535349,"4,894","3,640",,,92608,19391
Matale,1,54,2008,2008-01,100.9,16.875502,29.8255,0.3993992,"19,119","3,559","11,960","3,784",471188,121367
Matara,1,16,2008,2008-01,130.0,21.7475,29.5975,0.43550405,"14,865","3,887","15,975","3,755",806253,195691
Monaragala,1,10,2008,2008-01,172.5,16.861,30.561,0.37152016,"25,827","3,993","13,716","4,272",428100,111097
Mullaitivu,1,0,2008,2008-01,48.600002,23.352,29.052,0.29701746,"6,596","3,430",,,83887,22093
Nuwara Eliya,1,1,2008,2008-01,145.90001,10.614,21.264,0.44451746,"5,627","3,929","2,087","3,688",707156,170844
Polonnaruwa,1,0,2008,2008-01,93.1,17.8435,31.1435,0.4325403,"55,529","4,900","54,481","4,971",393145,104787
