Year,Month,District_Count
2007,1,25
2007,2,25
2007,3,25
2007,4,25
2007,5,25
2007,6,25
2007,7,25
2007,8,25
2007,9,25
2007,10,25
2007,11,25
2007,12,25
2008,1,25
2008,2,25
2008,3,25
2008,4,25
2008,5,25
2008,6,25
2008,7,25
2008,8,25
2008,9,25
2008,10,25
2008,11,25
2008,12,25
2009,1,25
2009,2,25
2009,3,25
2009,4,25
2009,5,25
2009,6,25
2009,7,25
2009,8,25
2009,9,25
2009,10,25
2009,11,25
2009,12,25
2010,1,25
2010,2,25
2010,3,25
2010,4,25
2010,5,25
2010,6,25
2010,7,25
2010,8,25
2010,9,25
2010,10,25
2010,11,25
2010,12,25
2011,1,25
2011,2,25
2011,3,25
2011,4,25
2011,5,25
2011,6,25
2011,7,25
2011,8,25
2011,9,25
2011,10,25
2011,11,25
2011,12,25
2012,1,25
2012,2,25
2012,3,25
2012,4,25
2012,5,25
2012,6,25
2012,7,25
2012,8,25
2012,9,25
2012,10,25
2012,11,25
2012,12,25
2013,1,25
2013,2,25
2013,3,25
2013,4,25
2013,5,25
2013,6,25
2013,7,25
2013,8,25
2013,9,25
2013,10,25
2013,11,25
2013,12,25
2014,1,25
2014,2,25
2014,3,25
2014,4,25
2014,5,25
2014,6,25
2014,7,25
2014,8,25
2014,9,25
2014,10,25
2014,11,25
2014,12,25
2015,1,25
2015,2,25
2015,3,25
2015,4,25
2015,5,25
2015,6,25
2015,7,25
2015,8,25
2015,9,25
2015,10,25
2015,11,25
2015,12,25
2016,1,25
2016,2,25
2016,3,25
2016,4,25
2016,5,25
2016,6,25
2016,7,25
2016,8,25
2016,9,25
2016,10,25
2016,11,25
2016,12,25
2017,1,25
2017,2,25
2017,3,25
2017,4,25
2017,5,25
2017,6,25
2017,7,25
2017,8,25
2017,9,25
2017,10,25
2017,11,25
2017,12,25
2018,1,25
2018,2,25
2018,3,25
2018,4,25
2018,5,25
2018,6,25
2018,7,25
2018,8,25
2018,9,25
2018,10,25
2018,11,25
2018,12,25
2019,1,25
2019,2,25
2019,3,25
2019,4,25
2019,5,25
2019,6,25
2019,7,25
2019,8,25
2019,9,25
2019,10,25
2019,11,25
2019,12,25
2020,1,25
2020,2,25
2020,3,25
2020,4,25
2020,5,25
2020,6,25
2020,7,25
2020,8,25
2020,9,25
2020,10,25
2020,11,25
2020,12,25
2021,1,25
2021,2,25
2021,3,25
2021,4,25
2021,5,25
2021,6,25
2021,7,25
2021,8,25
2021,9,25
2021,10,25
2021,11,25
2021,12,25
2022,1,25
2022,2,25
2022,3,25
2022,4,25
2022,5,25
2022,6,25
2022,7,25
2022,8,25
2022,9,25
2022,10,25
2022,11,25
2022,12,25
2023,1,25
2023,2,25
2023,3,25
2023,4,25
2023,5,25
2023,6,25
2023,7,25
2023,8,25
2023,9,25
2023,10,25
2023,11,25
2023,12,25
2024,1,25
2024,2,25
2024,3,25
2024,4,25
2024,5,25
2024,6,25
2024,7,25
2024,8,25
2024,9,25
2024,10,25
2024,11,25
2024,12,25
