District,MRiceArea,MRiceYield
COLOMBO,"4,617","3,477"
GAMPAHA,"10,333","3,453"
KALUTARA,"14,151","3,367"
KANDY,"13,299","4,169"
MATALE,"19,177","4,384"
NUWARAELIYA,"5,482","4,002"
GALLE,"15,968","3,431"
MATARA,"15,196","3,653"
HAMBANTOTA,"26,759","5,198"
JAFFNA,"8,755","2,680"
KILLINOCHCHI,"20,876","3,059"
MANNAR,"13,416","4,798"
VAVUNIYA,"15,994","3,972"
MULATIVU,"9,727","2,994"
BATTICALOA,"59,470","3,733"
AMPARA,"71,877","5,026"
TRINCOMALEE,"30,161","4,484"
KURUNEGALA,"62,621","3,934"
PUTTALAM,"13,181","4,087"
ANURADHAPURA,"89,253","4,982"
POLONNARUWA,"64,512","5,086"
BADULLA,"27,552","4,514"
MONARAGALA,"31,985","4,258"
RATNAPURA,"12,948","3,367"
KEGALLE,"7,103","3,629"
UDAWALAWE,"13,447","6,399"
MAHAWELI 'H',"24,215","6,155"
