District,SRiceArea,SRiceYield
COLOMBO,"2,656","3,209"
GAMPAHA,"7,828","3,687"
KALUTARA,"12,025","2,682"
GALLE,"11,732","2,943"
MATARA,"15,574","3,415"
RATNAPURA,"11,463","3,280"
KEGALLE,"7,216","2,846"
KURUNEGALA,"56,682","3,993"
PUTTALAM,"10,576","3,567"
KANDY,"10,121","3,567"
MATALE,"10,719","4,292"
NUWARAELIYA,"3,030","4,420"
BADULLA,"12,665","4,480"
MONARAGALA,"14,016","4,210"
JAFFNA*,-,-
KILLINOCHCHI,"1,468","2,579"
VAVUNIYA,834,"4,724"
MULATIVU,"1,183","3,877"
MANNAR,600,"3,909"
ANURADHAPURA,"22,887","4,887"
POLONNARUWA,"58,301","5,095"
TRINCOMALEE,"13,116","4,853"
BATTICALOA,"20,901","4,008"
AMPARA,"59,255","4,877"
HAMBANTOTA,"24,255","5,114"
UDA WALAWE,"14,317","6,526"
MAHAWELI 'H',"15,824","5,574"
