District,MRiceArea,MRiceYield,Year,SRiceArea,SRiceYield
COLOMBO,"3,354","3,033",2007,879,"3,346"
GAMPAHA,"8,402","3,134",2007,"2,407","3,656"
KALUTARA,"12,511","3,170",2007,"7,135","3,060"
GALLE,"12,395","3,418",2007,"5,871","3,262"
MATARA,"13,176","3,692",2007,"13,345","3,712"
RATNAPURA,"11,136","3,342",2007,"7,437","3,970"
KEGALLE,"8,233","3,143",2007,"5,159","3,291"
KURUNEGALA,"71,731","4,035",2007,"28,729","3,755"
PUTTALAM,"12,579","3,962",2007,"5,320","4,145"
KANDY,"12,042","3,710",2007,"8,157","3,903"
MATALE,"15,281","3,866",2007,"5,585","4,086"
NUWARAELIYA,"5,335","3,459",2007,,
BADULLA,"22,266","4,434",2007,"10,705","4,639"
MONARAGALA,"23,544","4,089",2007,"8,926","4,377"
JAFFNA,"6,918","2,141",2007,-,-
KILLINOCHCHI,"16,488","3,344",2007,,
VAVUNIYA,"4,064","4,327",2007,,
MULATIVU,"9,568","3,624",2007,,
MANNAR,"5,668","3,874",2007,,
ANURADHAPURA,"57,562","4,726",2007,"14,635","4,804"
POLONNARUWA,"50,565","5,119",2007,"49,558","5,057"
TRINCOMALEE,"16,287","4,261",2007,,
BATTICALOA,"18,469","2,891",2007,"2,705","3,680"
AMPARA,"51,803","4,934",2007,"53,787","4,993"
HAMBANTOTA,"22,320","5,215",2007,"20,923","4,940"
UDA WALAWE,"9,460","5,636",2007,"9,381","5,641"
MAHAWELI 'H',"24,183","5,563",2007,"11,440","5,136"
COLOMBO,"3,767","3,502",2008,"3,832","3,172"
GAMPAHA,"9,360","3,495",2008,"7,501","3,243"
KALUTARA,"13,476","2,884",2008,"12,368","2,743"
GALLE,"14,679","3,190",2008,"14,130","3,027"
MATARA,"14,865","3,887",2008,"15,975","3,755"
RATNAPURA,"12,025","3,305",2008,"11,331","3,556"
KEGALLE,"7,486","3,749",2008,"7,431","3,323"
KURUNEGALA,"75,351","3,838",2008,"68,912","3,148"
PUTTALAM,"12,284","3,834",2008,"14,484","3,746"
KANDY,"13,476","3,764",2008,"11,629","3,895"
MATALE,"19,119","3,559",2008,"11,960","3,784"
NUWARAELIYA,"5,627","3,929",2008,"2,087","3,688"
BADULLA,"25,331","4,094",2008,"12,746","4,605"
MONARAGALA,"25,827","3,993",2008,"13,716","4,272"
JAFFNA,"7,566","2,887",2008,,
KILLINOCHCHI *,"14,650","2,803",2008,,
VAVUNIYA *,"6,422","3,587",2008,,
MULATIVU *,"6,596","3,430",2008,,
MANNAR *,"4,894","3,640",2008,,
ANURADHAPURA,"72,717","4,311",2008,"49,133","4,396"
POLONNARUWA,"55,529","4,900",2008,"54,481","4,971"
TRINCOMALEE,"18,987","4,381",2008,"15,296","4,504"
BATTICALOA,"19,134","3,661",2008,"17,728","3,943"
AMPARA,"64,490","4,864",2008,"60,168","4,927"
HAMBANTOTA,"24,234","4,762",2008,"24,500","4,725"
UDA WALAWE,"9,527","5,661",2008,"10,718","6,198"
MAHAWELI 'H',"24,178","5,501",2008,"17,758","5,403"
COLOMBO,"4,506","3,554",2009,"3,615","3,004"
GAMPAHA,"10,826","3,353",2009,"8,106","3,390"
KALUTARA,"14,684","3,115",2009,"12,872","2,898"
GALLE,"15,930","3,032",2009,"13,120","2,997"
MATARA,"16,171","3,631",2009,"15,722","3,628"
RATNAPURA,"12,995","3,462",2009,"11,978","3,277"
KEGALLE,"8,179","3,721",2009,"7,617","3,374"
KURUNEGALA,"77,291","3,940",2009,"48,916","3,534"
PUTTALAM,"19,680","3,976",2009,"15,258","3,653"
KANDY,"14,071","3,768",2009,"9,262","3,545"
MATALE,"19,374","3,759",2009,"6,406","3,642"
NUWARAELIYA,"5,576","4,145",2009,"2,884","2,913"
BADULLA,"27,225","4,484",2009,"8,168","4,673"
MONARAGALA,"26,529","4,413",2009,"8,341","3,645"
JAFFNA,"8,171","2,506",2009,-,-
KILLINOCHCHI **,-,-,2009,,
VAVUNIYA *,"6,709","4,689",2009,,
MULATIVU **,-,-,2009,,
MANNAR *,"5,352","3,670",2009,,
ANURADHAPURA,"80,724","4,633",2009,"18,226","4,426"
POLONNARUWA,"57,298","5,223",2009,"36,862","4,737"
TRINCOMALEE,"23,014","4,463",2009,"13,950","4,851"
BATTICALOA,"45,905","3,639",2009,"17,073","4,189"
AMPARA,"69,979","5,158",2009,"46,227","4,964"
HAMBANTOTA,"25,575","5,295",2009,"21,905","5,017"
UDA WALAWE,"11,517","6,517",2009,"12,188","6,105"
MAHAWELI 'H',"24,849","6,036",2009,"6,481","4,821"
COLOMBO,"4,764","3,505",2010,"2,656","3,209"
GAMPAHA,"12,534","3,451",2010,"7,828","3,687"
KALUTARA,"15,369","3,208",2010,"12,025","2,682"
GALLE,"17,156","3,286",2010,"11,732","2,943"
MATARA,"15,908","3,641",2010,"15,574","3,415"
RATNAPURA,"13,485","3,318",2010,"11,463","3,280"
KEGALLE,"8,337","3,791",2010,"7,216","2,846"
KURUNEGALA,"68,758","4,033",2010,"56,682","3,993"
PUTTALAM,"14,415","3,973",2010,"10,576","3,567"
KANDY,754,934,2010,"10,121","3,567"
MATALE,"20,248","4,494",2010,"10,719","4,292"
NUWARAELIYA,"5,586","4,134",2010,"3,030","4,420"
BADULLA,"27,023","4,324",2010,"12,665","4,480"
MONARAGALA,"27,360","4,413",2010,"14,016","4,210"
JAFFNA,"8,948","2,605",2010,,
KILLINOCHCHI *,-,-,2010,,
VAVUNIYA,"4,830","5,367",2010,834,"4,724"
MULATIVU,"2,180","5,316",2010,"1,183","3,877"
MANNAR,"8,093","5,403",2010,600,"3,909"
ANURADHAPURA,"81,463","4,924",2010,"22,887","4,887"
POLONNARUWA,"60,312","5,336",2010,"58,301","5,095"
TRINCOMALEE,"26,535","4,332",2010,"13,116","4,853"
BATTICALOA,"54,855","4,031",2010,"20,901","4,008"
AMPARA,"69,861","5,368",2010,"59,255","4,877"
HAMBANTOTA,"26,098","5,183",2010,"24,255","5,114"
UDA WALAWE,"13,068","6,275",2010,"14,317","6,526"
MAHAWELI 'H',"25,012","6,476",2010,"15,824","5,574"
COLOMBO,"4,651","2,706",2011,"2,378","2,999"
GAMPAHA,"13,041","3,061",2011,"5,461","3,415"
KALUTARA,"15,024","2,917",2011,"11,499","2,430"
KANDY,"13,828","3,121",2011,"9,127","3,737"
MATALE,"19,814","3,599",2011,"10,718","4,202"
NUWARAELIYA,"5,584","3,847",2011,"2,946","4,208"
GALLE,"16,697","2,968",2011,"10,560","2,924"
MATARA,"15,925","3,474",2011,"15,401","3,299"
HAMBANTOTA,"36,084","5,779",2011,"25,339","5,047"
JAFFNA,"9,221","2,659",2011,-,-
KILLINOCHCHI,"20,224","2,854",2011,"6,518","2,616"
MANNAR,"11,693","4,001",2011,"1,818","3,842"
VAVUNIYA,"13,689","4,139",2011,"4,272","4,151"
MULATIVU,"10,753","2,456",2011,"3,433","3,669"
BATTICALOA,"59,520","2,399",2011,"21,699","4,031"
AMPARA,"70,819","3,333",2011,"61,904","4,863"
TRINCOMALEE,"30,331","2,388",2011,"18,514","4,710"
KURUNEGALA,"81,263","3,319",2011,"68,619","3,758"
PUTTALAM,"20,253","3,641",2011,"17,521","3,684"
ANURADHAPURA,"113,113","4,463",2011,"54,471","4,775"
POLONNARUWA,"65,396","3,831",2011,"61,666","5,028"
BADULLA,"27,733","3,324",2011,"13,179","4,395"
MONARAGALA,"30,587","4,077",2011,"15,764","4,123"
RATNAPURA,"16,595","3,519",2011,"11,734","3,315"
KEGALLE,"8,212","2,993",2011,"7,024","2,756"
COLOMBO,"4,617","3,477",2012,910,"3,002"
GAMPAHA,"10,333","3,453",2012,"3,571","3,258"
KALUTARA,"14,151","3,367",2012,"7,232","2,398"
KANDY,"13,299","4,169",2012,"5,558","3,642"
MATALE,"19,177","4,384",2012,"5,638","3,686"
NUWARAELIYA,"5,482","4,002",2012,"1,144","3,087"
GALLE,"15,968","3,431",2012,"4,212","3,075"
MATARA,"15,196","3,653",2012,"12,476","3,050"
HAMBANTOTA,"26,759","5,198",2012,"21,403","4,919"
JAFFNA,"8,755","2,680",2012,,
KILLINOCHCHI,"20,876","3,059",2012,"5,771","4,032"
MANNAR,"13,416","4,798",2012,"2,201","3,759"
VAVUNIYA,"15,994","3,972",2012,"1,156","3,788"
MULATIVU,"9,727","2,994",2012,"2,588","3,590"
BATTICALOA,"59,470","3,733",2012,"23,887","3,965"
AMPARA,"71,877","5,026",2012,"60,864","4,729"
TRINCOMALEE,"30,161","4,484",2012,"16,107","4,455"
KURUNEGALA,"62,621","3,934",2012,"41,517","3,413"
PUTTALAM,"13,181","4,087",2012,"6,341","3,582"
ANURADHAPURA,"89,253","4,982",2012,"26,568","4,049"
POLONNARUWA,"64,512","5,086",2012,"53,452","4,199"
BADULLA,"27,552","4,514",2012,"11,676","4,208"
MONARAGALA,"31,985","4,258",2012,"13,468","3,956"
RATNAPURA,"12,948","3,367",2012,"9,743","3,447"
KEGALLE,"7,103","3,629",2012,"2,882","2,728"
UDAWALAWE,"13,447","6,399",2012,,
MAHAWELI 'H',"24,215","6,155",2012,"12,533","5,316"
COLOMBO,"4,062","3,597",2013,"1,257","2,522"
GAMPAHA,"11,176","3,750",2013,"4,813","2,934"
KALUTARA,"13,638","3,105",2013,"6,906","2,539"
KANDY,"11,992","4,013",2013,"8,459","3,691"
MATALE,"21,168","4,404",2013,"9,318","4,617"
NUWARAELIYA,"5,418","5,282",2013,"1,832","3,196"
GALLE,"14,141","3,552",2013,"4,057","2,670"
MATARA,"15,344","3,960",2013,"11,331","3,475"
HAMBANTOTA,"28,946","6,575",2013,"25,896","4,987"
JAFFNA,"10,219","2,388",2013,-,-
MANNAR,"15,663","5,509",2013,"2,248","5,694"
VAVUNIYA,"18,030","3,722",2013,"5,270","4,813"
MULATIVU *,"14,087","2,685",2013,,
KILLINOCHCHI,"22,728","4,221",2013,"5,825","5,630"
BATTICALOA,"66,276","2,088",2013,"27,556","4,603"
AMPARA,"82,921","4,084",2013,"64,403","4,833"
TRINCOMALEE,"35,011","3,424",2013,"23,012","4,758"
KURUNEGALA,"81,580","4,806",2013,"52,461","3,619"
PUTTALAM,"20,354","4,599",2013,"11,533","3,856"
ANURADHAPURA,"100,598","4,467",2013,"46,888","4,284"
POLONNARUWA,"66,372","4,889",2013,"62,503","4,725"
BADULLA,"29,262","4,869",2013,"13,485","4,443"
MONARAGALA,"36,762","4,270",2013,"15,346","3,696"
RATNAPURA,"12,586","3,766",2013,"8,465","3,941"
KEGALLE,"5,093","3,916",2013,"4,725","2,783"
UDA WALAWE,"12,278","6,405",2013,"11,994","6,198"
MAHAWELI 'H',"23,930","5,686",2013,"14,134","4,865"
COLOMBO,"3,765","3,551",2014,983,"3,073"
GAMPAHA,"10,646","3,188",2014,"5,171","3,179"
KALUTARA,"12,744","2,915",2014,"6,272","2,817"
GALLE,"12,703","3,653",2014,"4,767","2,735"
MATARA,"13,890","3,882",2014,"11,221","3,398"
RATNAPURA,"11,903","4,053",2014,"7,412","3,525"
KEGALLE,"6,088","3,344",2014,"3,969","2,763"
KURUNEGALA,"61,138","4,062",2014,"59,599","3,453"
PUTTALAM,"13,944","4,072",2014,"10,741","3,927"
KANDY,"12,026","4,187",2014,"8,118","3,667"
MATALE,"18,578","3,956",2014,"6,507","4,169"
NUWARAELIYA,"5,031","4,403",2014,"1,839","4,274"
BADULLA,"27,637","4,872",2014,"12,843","4,751"
MONARAGALA,"34,814","3,969",2014,"8,814","3,778"
JAFFNA,"10,180","1,547",2014,,
KILLINOCHCHI,"22,897","4,218",2014,324,"4,238"
VAVUNIYA,"8,377","3,408",2014,"1,557","4,507"
MULATIVU*,"12,797","2,563",2014,,
MANNAR,"5,313","5,254",2014,"1,726","3,970"
ANURADHAPURA,"52,789","3,898",2014,"17,542","4,461"
POLONNARUWA,"62,200","4,819",2014,"34,553","4,902"
TRINCOMALEE,"26,133","4,830",2014,"7,394","4,446"
BATTICALOA,"62,204","3,024",2014,"20,282","4,137"
AMPARA,"81,940","4,885",2014,"44,377","4,700"
HAMBANTOTA,"26,882","5,592",2014,"21,524","4,627"
UDA WALAWE,"12,029","5,811",2014,"10,277","6,363"
MAHAWELI 'H',"22,641","5,868",2014,"4,727","4,887"
COLOMBO,"3,484",3431,2015,"1,309",2275
GAMPAHA,"11,154",3594,2015,"4,592",3252
KALUTARA,"13,020",3644,2015,"7,796",3495
KANDY,"12,135",4203,2015,"8,552",3647
MATALE,"20,365",4602,2015,"10,186",4202
NUWARAELIYA,"5,237",3717,2015,"2,157",3943
GALLE,"13,130",3738,2015,"5,694",2649
MATARA,"14,447",4266,2015,"13,655",3861
HAMBANTOTA,"27,175",6134,2015,"26,302",5279
JAFFNA,"10,038",3096,2015,-,-
MANNAR,"17,321",5489,2015,"2,976",4954
VAVUNIYA,"16,841",4816,2015,"5,722",4683
MULATIVU,"14,613",3330,2015,"6,969",4540
KILLINOCHCHI,"23,675",3689,2015,"6,854",4634
BATTICALOA,"61,014",2686,2015,"27,011",4811
AMPARA,"83,133",4078,2015,"65,973",4906
TRINCOMALEE,"34,470",4473,2015,"22,294",4745
KURUNEGALA,"79,375",3609,2015,"62,649",3562
PUTTALAM,"20,116",4028,2015,"15,327",3817
ANURADHAPURA,"99,814",4802,2015,"50,398",4612
POLONNARUWA,"74,766",5306,2015,"62,135",5131
BADULLA,"27,057",4761,2015,"13,074",4459
MONARAGALA,"36,038",3993,2015,"15,415",4011
RATNAPURA,"11,751",3924,2015,"8,311",3688
KEGALLE,"6,240",3857,2015,"4,723",3437
UDA WALAWE,"12,366",6425,2015,"12,524",6062
MAHAWELI 'H',"23,851",6484,2015,"18,064",5526
COLOMBO,"2,896",3414,2016,402,2567
GAMPAHA,"9,989",3849,2016,"1,903",2703
KALUTARA,"11,736",3358,2016,"2,799",2954
KANDY,"11,747",3764,2016,"7,565",3533
MATALE,"19,858",4460,2016,"7,414",4886
NUWARAELIYA,"4,866",3779,2016,"2,017",3297
GALLE,"10,174",2965,2016,"1,199",3148
