District,YearMonth,Precipitation_mm,Temp_Min_C,Temp_Max_C,Soil_Moisture_0_7cm
Ampara,2007-01,144.79999,20.8005,28.3505,0.3611183
Ampara,2007-02,30.300001,19.6005,30.1505,0.32801786
Ampara,2007-03,17.9,19.8005,31.9005,0.24243818
Ampara,2007-04,201.8,23.6005,31.950499,0.3474764
Ampara,2007-05,71.1,24.4505,33.900497,0.31936696
Ampara,2007-06,91.7,24.7005,33.200497,0.3317389
Ampara,2007-07,52.7,24.2005,34.650497,0.29488978
Ampara,2007-08,67.6,24.2005,34.5005,0.25090995
Ampara,2007-09,66.299995,24.3005,33.7505,0.3206139
Ampara,2007-10,231.4,23.6505,33.3005,0.3433078
Ampara,2007-11,154.9,21.5005,29.9005,0.37958336
Ampara,2007-12,252.9,19.9505,27.9505,0.3861801
Ampara,2008-01,177.6,19.8505,29.6005,0.3803414
Ampara,2008-02,121.0,18.9005,28.9005,0.3622127
Ampara,2008-03,293.6,21.8005,30.7505,0.3854422
Ampara,2008-04,119.00001,23.0505,32.5505,0.3594764
Ampara,2008-05,34.600002,24.3005,34.5505,0.2699086
Ampara,2008-06,87.2,24.5005,34.0505,0.30991805
Ampara,2008-07,55.6,24.2005,34.200497,0.2461922
Ampara,2008-08,117.299995,23.7505,34.8505,0.26680374
Ampara,2008-09,43.9,23.5505,33.8005,0.28746668
Ampara,2008-10,154.3,22.1005,32.6005,0.32869622
Ampara,2008-11,183.9,22.0005,30.7005,0.35586253
Ampara,2008-12,228.6,21.8505,28.7505,0.38370162
Ampara,2009-01,181.70001,19.6005,28.3005,0.35830376
Ampara,2009-02,16.7,19.6005,30.8005,0.27719942
Ampara,2009-03,109.799995,20.4005,31.7505,0.31213844
Ampara,2009-04,93.7,23.7005,33.200497,0.33329305
Ampara,2009-05,52.0,25.0505,34.650497,0.25457257
Ampara,2009-06,31.6,25.0005,35.1005,0.22692777
Ampara,2009-07,16.800001,24.9005,36.200497,0.17140457
Ampara,2009-08,80.1,24.2505,35.450497,0.24768278
Ampara,2009-09,53.1,24.5505,34.6005,0.2764514
Ampara,2009-10,64.8,23.3005,34.5005,0.23144624
Ampara,2009-11,276.1,23.2505,29.8005,0.39586803
Ampara,2009-12,313.6,22.9505,29.3505,0.40567473
Ampara,2010-01,122.4,21.6005,29.0005,0.3563387
Ampara,2010-02,29.4,21.7005,30.4005,0.3327098
Ampara,2010-03,36.2,22.2505,32.5505,0.22170968
Ampara,2010-04,76.3,24.6005,33.0505,0.29514027
Ampara,2010-05,92.0,25.0005,34.3505,0.33624595
Ampara,2010-06,97.0,25.5505,34.400497,0.31327775
Ampara,2010-07,43.1,24.6005,35.0505,0.27567473
Ampara,2010-08,133.1,23.9005,34.900497,0.28744087
Ampara,2010-09,155.1,24.1005,33.5505,0.3485931
Ampara,2010-10,144.2,23.0005,33.1005,0.33755648
Ampara,2010-11,383.6,22.6505,30.5505,0.4000639
Ampara,2010-12,478.1,21.2005,29.6005,0.40123522
Ampara,2011-01,557.39996,20.9005,28.8005,0.3967016
Ampara,2011-02,471.49997,21.8005,29.8505,0.36907738
Ampara,2011-03,101.2,20.6005,31.5005,0.34898788
Ampara,2011-04,144.7,23.4005,32.5505,0.32111666
Ampara,2011-05,38.600002,24.8005,34.0005,0.30105108
Ampara,2011-06,20.1,23.7005,35.150497,0.21079445
Ampara,2011-07,75.7,24.6505,34.5005,0.22900538
Ampara,2011-08,81.7,23.6505,34.8505,0.26235616
Ampara,2011-09,74.7,24.2005,33.8005,0.2876236
Ampara,2011-10,284.6,23.5505,32.700497,0.36540592
Ampara,2011-11,214.3,22.8505,29.6005,0.3893986
Ampara,2011-12,407.0,18.8505,30.2005,0.38658202
Ampara,2012-01,64.4,18.5005,29.0005,0.32840458
Ampara,2012-02,84.200005,21.6005,29.5505,0.34021983
Ampara,2012-03,26.0,22.4005,32.450497,0.24482794
Ampara,2012-04,98.6,23.9505,32.3005,0.32340556
Ampara,2012-05,13.2,24.0005,36.3505,0.20534004
Ampara,2012-06,16.9,24.6505,36.900497,0.16637222
Ampara,2012-07,44.9,24.6505,36.5005,0.19637232
Ampara,2012-08,46.5,24.4005,35.6005,0.20577285
Ampara,2012-09,76.0,24.7005,34.6005,0.2820625
Ampara,2012-10,295.1,23.5505,34.2505,0.33754298
Ampara,2012-11,196.4,23.0005,30.5505,0.38997224
Ampara,2012-12,311.6,21.6005,28.6505,0.38890997
Ampara,2013-01,458.2,21.4005,28.5005,0.37521502
Ampara,2013-02,117.600006,20.9505,29.6505,0.36230507
Ampara,2013-03,121.1,22.6005,31.6005,0.36399192
