iter	Logloss
0	0.6705124509
1	0.6509579289
2	0.6364725986
3	0.6189146975
4	0.6033739303
5	0.588203542
6	0.5787522953
7	0.5659903789
8	0.5562199128
9	0.5497187855
10	0.5430576649
11	0.5374733301
12	0.5304723817
13	0.5252640126
14	0.5195864215
15	0.5140643622
16	0.5094575763
17	0.5058690115
18	0.5014896449
19	0.4974226921
20	0.4950275345
21	0.4915654907
22	0.4881361979
23	0.4857876544
24	0.4833854574
25	0.4806126154
26	0.4781214925
27	0.4754530395
28	0.4735752196
29	0.4710577168
30	0.4692200735
31	0.4679396659
32	0.4670303776
33	0.4653909076
34	0.4637474799
35	0.4626807975
36	0.461756324
37	0.4608373431
38	0.4598976862
39	0.4586857493
40	0.4580908867
41	0.457291626
42	0.4561097639
43	0.4551069283
44	0.4541156517
45	0.4527438199
46	0.4519488926
47	0.4512247153
48	0.4503569622
49	0.449341088
50	0.4488576559
51	0.4479345869
52	0.4473742117
53	0.446123817
54	0.4453417011
55	0.4448995608
56	0.4443739399
57	0.4437961825
58	0.4431835754
59	0.4425005647
60	0.4414091997
61	0.4409515302
62	0.4402814012
63	0.4395820826
64	0.4390532653
65	0.438765227
66	0.4377910945
67	0.4367554698
68	0.4362079355
69	0.4352437083
70	0.4347666429
71	0.4344446275
72	0.4337650737
73	0.4330980579
74	0.4327501551
