iter	Passed	Remaining
0	3	256
1	7	261
2	11	277
3	15	280
4	20	282
5	23	271
6	28	278
7	31	266
8	35	262
9	40	260
10	44	260
11	48	255
12	54	258
13	58	254
14	63	253
15	68	250
16	72	248
17	77	244
18	82	243
19	86	236
20	91	234
21	95	230
22	101	229
23	106	226
24	112	224
25	116	219
26	122	218
27	127	213
28	134	213
29	138	208
30	144	204
31	148	199
32	153	195
33	157	190
34	162	185
35	166	180
36	172	177
37	176	171
38	181	167
39	185	162
40	190	158
41	194	153
42	200	149
43	204	144
44	209	139
45	214	134
46	218	130
47	222	125
48	228	121
49	232	116
50	239	112
51	242	107
52	247	102
53	253	98
54	258	93
55	262	89
56	268	84
57	272	79
58	277	75
59	282	70
60	287	65
61	291	61
62	296	56
63	300	51
64	306	47
65	310	42
66	316	37
67	321	33
68	326	28
69	330	23
70	336	18
71	341	14
72	347	9
73	352	4
74	358	0
